trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
365,False,"{'a': 0.99, 'e': 0.025517964452291125}",20,12,17.004468105430124,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
366,False,"{'a': 0.99, 'e': 0.025262784807768213}",20,6,27.578491838619435,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
367,False,"{'a': 0.99, 'e': 0.025010156959690534}",30,17,23.53143953917352,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
368,False,"{'a': 0.99, 'e': 0.024760055390093627}",25,11,25.61857442659963,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
369,False,"{'a': 0.99, 'e': 0.02451245483619269}",25,11,21.738611554158965,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
370,False,"{'a': 0.99, 'e': 0.024267330287830763}",25,14,21.715844691945296,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
371,False,"{'a': 0.99, 'e': 0.024024656984952455}",35,17,30.300234304345782,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
372,False,"{'a': 0.99, 'e': 0.02378441041510293}",25,14,8.781415312093548,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
373,False,"{'a': 0.99, 'e': 0.0235465663109519}",30,21,19.633898977423357,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
374,False,"{'a': 0.99, 'e': 0.02331110064784238}",30,0,30.278100654165147,"{0: 28, 1: 1, 2: 1, 3: 0, 4: 0}",0
375,False,"{'a': 0.99, 'e': 0.02307798964136396}",30,13,29.095027527912766,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
376,False,"{'a': 0.99, 'e': 0.022847209744950317}",30,18,20.043182703058672,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
377,False,"{'a': 0.99, 'e': 0.022618737647500817}",30,20,13.458728695950192,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
378,False,"{'a': 0.99, 'e': 0.022392550271025807}",20,10,17.787030314226772,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
379,False,"{'a': 0.99, 'e': 0.022168624768315548}",25,9,29.89838623434728,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
380,False,"{'a': 0.99, 'e': 0.021946938520632394}",25,11,29.499202786705315,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
381,False,"{'a': 0.99, 'e': 0.02172746913542607}",20,7,22.145294726868563,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
382,False,"{'a': 0.99, 'e': 0.021510194444071807}",20,12,14.3676717675838,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
383,False,"{'a': 0.99, 'e': 0.021295092499631088}",25,16,18.794288853842463,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
384,False,"{'a': 0.99, 'e': 0.02108214157463478}",20,3,29.01157172795486,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
385,False,"{'a': 0.99, 'e': 0.02087132015888843}",30,8,39.61676626807812,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
386,False,"{'a': 0.99, 'e': 0.020662606957299545}",25,14,21.82383606914216,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
387,False,"{'a': 0.99, 'e': 0.02045598088772655}",20,10,21.30469191613544,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
388,False,"{'a': 0.99, 'e': 0.020251421078849283}",25,8,26.90818373813597,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
389,False,"{'a': 0.99, 'e': 0.02004890686806079}",20,13,14.455169964419383,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
390,False,"{'a': 0.99, 'e': 0.019848417799380184}",25,12,25.221001074676263,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
391,False,"{'a': 0.99, 'e': 0.01964993362138638}",20,9,20.629386735599507,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
392,False,"{'a': 0.99, 'e': 0.019453434285172516}",25,0,39.39634188053739,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
393,False,"{'a': 0.99, 'e': 0.01925889994232079}",25,16,15.458317025758896,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
394,False,"{'a': 0.99, 'e': 0.019066310942897586}",30,13,31.62866282087348,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
395,False,"{'a': 0.99, 'e': 0.01887564783346861}",25,17,14.22895699973524,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
396,False,"{'a': 0.99, 'e': 0.018686891355133923}",30,13,35.330198905919815,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
397,False,"{'a': 0.99, 'e': 0.01850002244158258}",20,9,16.195055466751167,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
398,False,"{'a': 0.99, 'e': 0.018315022217166757}",20,15,8.214173411757404,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
399,False,"{'a': 0.99, 'e': 0.018131871994995087}",30,14,29.087871213245272,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
400,False,"{'a': 0.99, 'e': 0.017950553275045137}",35,21,25.33096911789241,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
401,False,"{'a': 0.99, 'e': 0.017771047742294686}",20,3,31.537345518494043,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
402,False,"{'a': 0.99, 'e': 0.01759333726487174}",20,5,-11.180129277220972,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
403,False,"{'a': 0.99, 'e': 0.017417403892223023}",30,20,19.404095217098085,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
404,False,"{'a': 0.99, 'e': 0.01724322985330079}",20,1,31.213443999219518,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
405,False,"{'a': 0.99, 'e': 0.017070797554767782}",35,10,39.04760878522273,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
406,False,"{'a': 0.99, 'e': 0.016900089579220106}",30,16,25.108796047118698,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
407,False,"{'a': 0.99, 'e': 0.016731088683427903}",20,9,9.91113618010985,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
408,False,"{'a': 0.99, 'e': 0.016563777796593626}",20,15,9.066336566039435,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
409,False,"{'a': 0.99, 'e': 0.016398140018627688}",20,8,21.44546345072644,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
410,False,"{'a': 0.99, 'e': 0.01623415861844141}",30,17,22.28583326850814,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
411,False,"{'a': 0.99, 'e': 0.016071817032256998}",25,19,13.377328482348345,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
412,False,"{'a': 0.99, 'e': 0.015911098861934425}",30,10,35.35646222021589,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
413,False,"{'a': 0.99, 'e': 0.015751987873315082}",25,17,14.690152718319728,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
414,False,"{'a': 0.99, 'e': 0.015594467994581931}",35,15,39.38332462607962,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
415,False,"{'a': 0.99, 'e': 0.015438523314636111}",20,12,14.987181363893887,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
416,False,"{'a': 0.99, 'e': 0.01528413808148975}",25,0,31.324285955968087,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
417,False,"{'a': 0.99, 'e': 0.015131296700674854}",20,15,11.147440140361493,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
418,False,"{'a': 0.99, 'e': 0.014979983733668104}",20,7,20.630715340221567,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
419,False,"{'a': 0.99, 'e': 0.014830183896331423}",35,20,21.692985469937636,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
420,False,"{'a': 0.99, 'e': 0.014681882057368109}",20,0,32.260646378129294,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
421,False,"{'a': 0.99, 'e': 0.014535063236794427}",20,10,17.58079260768995,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
422,False,"{'a': 0.99, 'e': 0.014389712604426484}",20,8,24.48670277016174,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
423,False,"{'a': 0.99, 'e': 0.014245815478382218}",20,6,26.31337885912941,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
424,False,"{'a': 0.99, 'e': 0.014103357323598397}",20,16,5.477685928558396,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
425,False,"{'a': 0.99, 'e': 0.013962323750362412}",25,0,34.45786137678778,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
426,False,"{'a': 0.99, 'e': 0.013822700512858787}",20,10,18.285415027620317,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
427,False,"{'a': 0.99, 'e': 0.013684473507730199}",20,16,8.536912433233166,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
428,False,"{'a': 0.99, 'e': 0.013547628772652897}",30,13,33.790959103587454,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
429,False,"{'a': 0.99, 'e': 0.013412152484926368}",25,11,29.06286245004276,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
430,False,"{'a': 0.99, 'e': 0.013278030960077104}",20,14,12.305385028971203,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
431,False,"{'a': 0.99, 'e': 0.013145250650476333}",20,14,9.908209014141756,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
432,False,"{'a': 0.99, 'e': 0.01301379814397157}",20,14,11.988783303338208,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
433,False,"{'a': 0.99, 'e': 0.012883660162531854}",20,8,26.46324784854066,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
434,False,"{'a': 0.99, 'e': 0.012754823560906535}",30,16,25.636645751200053,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
435,False,"{'a': 0.99, 'e': 0.01262727532529747}",25,18,13.73242654023191,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
436,False,"{'a': 0.99, 'e': 0.012501002572044496}",20,0,-9.682809445342043,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
437,False,"{'a': 0.99, 'e': 0.01237599254632405}",20,13,15.583044570803967,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
438,False,"{'a': 0.99, 'e': 0.012252232620860809}",30,20,23.067905184113663,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
439,False,"{'a': 0.99, 'e': 0.012129710294652202}",20,9,22.03940320449839,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
440,False,"{'a': 0.99, 'e': 0.01200841319170568}",20,3,24.447916083910094,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
441,False,"{'a': 0.99, 'e': 0.011888329059788622}",25,11,22.773866302024846,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
442,False,"{'a': 0.99, 'e': 0.011769445769190737}",25,11,22.427519213362785,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
443,False,"{'a': 0.99, 'e': 0.011651751311498829}",20,8,21.769700867246858,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
444,False,"{'a': 0.99, 'e': 0.01153523379838384}",35,9,42.84296411551716,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
445,False,"{'a': 0.99, 'e': 0.011419881460400001}",30,18,0.28365245162404107,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
446,False,"{'a': 0.99, 'e': 0.011305682645796001}",25,0,40.93031559437185,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
447,False,"{'a': 0.99, 'e': 0.011192625819338041}",30,16,30.877460186972634,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
448,False,"{'a': 0.99, 'e': 0.011080699561144661}",30,23,11.577922826782611,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
449,False,"{'a': 0.99, 'e': 0.010969892565533214}",20,10,18.155984036096527,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
450,False,"{'a': 0.99, 'e': 0.010860193639877882}",20,16,8.837316377477146,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
451,False,"{'a': 0.99, 'e': 0.010751591703479103}",25,7,30.10807113761522,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
452,False,"{'a': 0.99, 'e': 0.010644075786444312}",20,8,0.4894561260993817,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
