trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
107,False,"{'a': 0.01, 'e': 0.4801242290285341}",20,12,12.602908466120311,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
108,False,"{'a': 0.01, 'e': 0.47132836417373997}",30,0,4.740894616316047,"{0: 29, 1: 0, 2: 0, 3: 1, 4: 0}",0
109,False,"{'a': 0.01, 'e': 0.4624853668753008}",25,0,30.098618740336757,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
110,False,"{'a': 0.01, 'e': 0.4535961214255773}",20,0,11.173333944004769,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
111,False,"{'a': 0.01, 'e': 0.4446615167417068}",20,10,17.436094066549867,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.01, 'e': 0.4356824462767121}",20,0,22.76619078691949,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
113,False,"{'a': 0.01, 'e': 0.42665980793015723}",20,0,9.389207885879154,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
114,False,"{'a': 0.01, 'e': 0.41759450395835795}",30,16,24.249664850433973,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
115,False,"{'a': 0.01, 'e': 0.40848744088415717}",25,0,22.978765619257132,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
116,False,"{'a': 0.01, 'e': 0.3993395294062732}",20,0,-2.0090012313090364,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
117,False,"{'a': 0.01, 'e': 0.3901516843082303}",20,0,22.51355186991469,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
118,False,"{'a': 0.01, 'e': 0.38092482436688185}",20,0,23.367737375352476,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
119,False,"{'a': 0.01, 'e': 0.371659872260533}",20,12,13.437865577100341,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.01, 'e': 0.3623577544766736}",25,0,-14.162357179745138,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
121,False,"{'a': 0.01, 'e': 0.3530194012193304}",25,0,23.859746706399495,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
122,False,"{'a': 0.01, 'e': 0.34364574631604705}",20,0,13.304295516975186,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
123,False,"{'a': 0.01, 'e': 0.3342377271245026}",30,10,31.31154697697749,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.01, 'e': 0.32479628443877623}",20,0,27.34866434774551,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
125,False,"{'a': 0.01, 'e': 0.3153223623952687}",20,0,25.9262965101596,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
126,False,"{'a': 0.01, 'e': 0.30581690837828934}",20,0,5.387847969920966,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
127,False,"{'a': 0.01, 'e': 0.29628087292531874}",25,0,-18.54570078367854,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
128,False,"{'a': 0.01, 'e': 0.2867152096319555}",25,0,26.91565715850026,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
129,False,"{'a': 0.01, 'e': 0.2771208750565576}",20,0,23.42061131272969,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
130,False,"{'a': 0.01, 'e': 0.26749882862458735}",25,0,29.465061425789262,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
131,False,"{'a': 0.01, 'e': 0.2578500325326696}",20,0,24.712350038589328,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
132,False,"{'a': 0.01, 'e': 0.2481754516523729}",30,0,34.34115865471382,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
133,False,"{'a': 0.01, 'e': 0.23847605343372313}",20,0,19.373868398433068,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
134,False,"{'a': 0.01, 'e': 0.22875280780845939}",25,0,28.415477898126674,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
135,False,"{'a': 0.01, 'e': 0.2190066870930415}",25,0,-16.995888661206532,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
136,False,"{'a': 0.01, 'e': 0.20923866589141926}",20,0,25.02428215889367,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
137,False,"{'a': 0.01, 'e': 0.19944972099757285}",25,0,29.90763280368463,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
138,False,"{'a': 0.01, 'e': 0.18964083129783424}",20,0,19.852015157509328,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
139,False,"{'a': 0.01, 'e': 0.17981297767299936}",20,6,21.97967281570289,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.01, 'e': 0.16996714290024081}",20,0,20.98013083694954,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
141,False,"{'a': 0.01, 'e': 0.16010431155483126}",30,11,-5.954247161129292,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 0}",1
142,False,"{'a': 0.01, 'e': 0.15022546991168584}",30,0,36.00194530764335,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
143,False,"{'a': 0.01, 'e': 0.14033160584673673}",20,0,21.943184698085297,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
144,False,"{'a': 0.01, 'e': 0.13042370873814554}",20,0,17.401529987407837,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
145,False,"{'a': 0.01, 'e': 0.12050276936736662}",20,0,27.279645278442914,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
146,False,"{'a': 0.01, 'e': 0.11056977982006959}",20,0,13.773985418781608,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
147,False,"{'a': 0.01, 'e': 0.10062573338693173}",25,0,25.016080548315195,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
148,False,"{'a': 0.01, 'e': 0.09067162446430968}",20,0,26.227286084422193,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
149,False,"{'a': 0.01, 'e': 0.08070844845480063}",20,16,8.405324632379376,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.01, 'e': 0.0707372016677029}",20,8,16.205713344015322,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.01, 'e': 0.0607588812193859}",20,0,23.320684806173386,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
152,False,"{'a': 0.01, 'e': 0.05077448493357918}",20,10,16.177888901488863,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.01, 'e': 0.040785011241591035}",25,0,25.697690007757494,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
154,False,"{'a': 0.01, 'e': 0.03079145908246612}",20,0,19.656794525581883,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
155,False,"{'a': 0.01, 'e': 0.020794827803092428}",20,0,31.441230322959193,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
156,False,"{'a': 0.01, 'e': 0.010796117058267392}",20,0,19.210371509154598,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
157,False,"{'a': 0.01, 'e': 0.0007963267107332633}",20,0,19.9418012080336,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
158,False,"{'a': 0.01, 'e': 0.009203543268808336}",20,0,22.889921332161876,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.01, 'e': 0.01920249290169265}",25,0,18.61468313805358,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
160,False,"{'a': 0.01, 'e': 0.029199522301288815}",20,0,18.634095801889952,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
161,False,"{'a': 0.01, 'e': 0.03919363177298771}",25,3,31.58671208283002,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.01, 'e': 0.049183821914170554}",25,10,24.106626736093446,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.01, 'e': 0.05916909371414836}",35,0,44.629347012595616,"{0: 35, 1: 0, 2: 0, 3: 0, 4: 0}",0
164,False,"{'a': 0.01, 'e': 0.06914844865406217}",25,2,25.670425694176625,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.01, 'e': 0.07912088880673408}",25,0,-37.11896250562998,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 1}",0
166,False,"{'a': 0.01, 'e': 0.08908541693645919}",20,0,20.37166552452634,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
167,False,"{'a': 0.01, 'e': 0.09904103659872801}",25,0,22.880186835014175,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
168,False,"{'a': 0.01, 'e': 0.10898675223987112}",30,0,-16.778782783961592,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",0
169,False,"{'a': 0.01, 'e': 0.11892156929661223}",20,6,-28.88840600201435,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
170,False,"{'a': 0.01, 'e': 0.12884449429552464}",25,20,8.849721961693978,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.01, 'e': 0.13875453495237755}",30,0,20.93594448310118,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
172,False,"{'a': 0.01, 'e': 0.14865070027136365}",25,0,26.569414360539902,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
173,False,"{'a': 0.01, 'e': 0.15853200064419776}",20,0,18.244163909673215,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
174,False,"{'a': 0.01, 'e': 0.16839744794907702}",20,0,23.587736479164793,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
175,False,"{'a': 0.01, 'e': 0.17824605564949209}",20,0,18.833771082179698,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
176,False,"{'a': 0.01, 'e': 0.1880768388928801}",20,8,15.246103528745477,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.01, 'e': 0.197888814609109}",20,8,12.460135862469308,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.01, 'e': 0.2076810016087838}",20,1,20.92122021359245,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.01, 'e': 0.21745242068136464}",25,7,2.5263350597675283,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
180,False,"{'a': 0.01, 'e': 0.2272020946930871}",20,6,14.219353734423777,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.01, 'e': 0.23692904868467468}",20,0,22.889096714492847,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
182,False,"{'a': 0.01, 'e': 0.24663230996883403}",20,2,23.774796675513638,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
183,False,"{'a': 0.01, 'e': 0.2563109082275227}",20,5,20.26681028332999,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
184,False,"{'a': 0.01, 'e': 0.2659638756089804}",25,0,31.29611773891791,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
